pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
136.23,-77.26,90.0,top,IC8,,,SOIC-16_4.55x10.3mm_P1.27mm,TA31033F,smt
172.21,-97.66,90.0,top,IC9,,,SOT-353_SC-70-5,EA,smt
165.85,-73.25,180.0,bottom,L1,,,L_1206_3216Metric,1.2uH,smt
171.53,-76.06,180.0,bottom,L2,,,L_1206_3216Metric,1.2uH,smt
125.82,-108.51,180.0,bottom,L3,,,L_0603_1608Metric,1.8uH,smt
122.83,-95.83,180.0,bottom,L4,,,L_0603_1608Metric,1.2uH,smt
125.9,-105.04,180.0,bottom,L5,,,L_0603_1608Metric,1.8uH,smt
131.23,-118.05,180.0,bottom,NF1,,,L_1206_3216Metric,300nH,smt
170.52,-121.51,180.0,bottom,NF2,,,L_1206_3216Metric,4.7nH,smt
136.21,-106.6,180.0,bottom,NF3,,,L_1206_3216Metric,0,smt
138.19,-118.2,90.0,top,NF4,,,L_1206_3216Metric,4.7nH,smt
137.1,-103.6,90.0,top,OSC1,,,Oscillator_SMD_Fordahl_DFAS2-4Pin_7.3x5.1mm,41.472,smt
159.5675,-87.92,0.0,top,PC2,,,Everlight_ITR8307_Reverse,TLP124,smt
150.63,-80.1025,180.0,bottom,Q1,,,SOT-323_SC-70,CQ,smt
155.89,-81.43,180.0,bottom,Q2,,,SOT-89-3,DA QU,smt
137.83,-116.5025,180.0,bottom,Q3,,,SOT-323_SC-70,123,smt
137.8,-121.3325,180.0,bottom,Q4,,,SOT-323_SC-70,CQ,smt
139.66,-93.6625,180.0,bottom,Q7,,,SOT-323_SC-70,SOT-323_SC-70,smt
132.97,-82.41,180.0,bottom,Q9,,,SOT-323_SC-70,HP,smt
136.24,-118.95,180.0,bottom,R1,,,R_0402_1005Metric,12k,smt
146.56,-125.86,180.0,top,R10,,,R_0402_1005Metric,38k,smt
179.04,-120.77,180.0,top,R100,,,R_0402_1005Metric,470k,smt
159.49,-95.17,-90.0,top,R101,,,R_0402_1005Metric,100,smt
158.3,-95.19,-90.0,top,R102,,,R_0402_1005Metric,100,smt
157.07,-95.19,-90.0,top,R103,,,R_0402_1005Metric,100,smt
155.77,-95.17,-90.0,top,R104,,,R_0402_1005Metric,100,smt
154.44,-95.17,-90.0,top,R105,,,R_0402_1005Metric,100,smt
153.22,-95.17,-90.0,top,R106,,,R_0402_1005Metric,100,smt
151.99,-95.14,-90.0,top,R107,,,R_0402_1005Metric,100,smt
150.68,-95.16,-90.0,top,R108,,,R_0402_1005Metric,100,smt
149.41,-95.17,-90.0,top,R109,,,R_0402_1005Metric,100,smt
143.02,-125.9,180.0,top,R11,,,R_0402_1005Metric,38k,smt
148.07,-95.17,-90.0,top,R110,,,R_0402_1005Metric,100,smt
146.84,-95.18,-90.0,top,R111,,,R_0402_1005Metric,100,smt
158.22,-98.63,-90.0,top,R112,,,R_0402_1005Metric,100,smt
155.69,-98.67,-90.0,top,R114,,,R_0402_1005Metric,100,smt
154.44,-98.68,-90.0,top,R115,,,R_0402_1005Metric,100,smt
153.18,-98.67,-90.0,top,R116,,,R_0402_1005Metric,100,smt
151.91,-98.65,-90.0,top,R117,,,R_0402_1005Metric,100,smt
150.63,-98.62,-90.0,top,R118,,,R_0402_1005Metric,100,smt
149.34,-98.63,-90.0,top,R119,,,R_0402_1005Metric,100,smt
144.43,-85.74,180.0,bottom,R12,,,R_2010_5025Metric,2.2k,smt
148.12,-98.63,-90.0,top,R120,,,R_0402_1005Metric,100,smt
146.84,-98.67,-90.0,top,R121,,,R_0402_1005Metric,100,smt
145.55,-98.67,-90.0,top,R122,,,R_0402_1005Metric,100,smt
143.93,-113.45,180.0,bottom,R123,,,R_0402_1005Metric,100,smt
