pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
111.17,-100.25,90.0,top,R3,,,R_0603_1608Metric,33,smt
128.14,-124.83,90.0,top,R30,,,R_0805_2012Metric,1k,smt
128.1,-128.4,90.0,top,R31,,,R_0805_2012Metric,1k,smt
130.27,-121.29,90.0,top,R32,,,R_0805_2012Metric,1k,smt
130.35,-124.88,90.0,top,R33,,,R_0805_2012Metric,1k,smt
130.34,-128.33,90.0,top,R34,,,R_0805_2012Metric,1k,smt
134.72,-128.43,90.0,top,R35,,,R_0805_2012Metric,1k,smt
134.71,-121.32,90.0,top,R36,,,R_0805_2012Metric,1k,smt
134.69,-124.89,90.0,top,R37,,,R_0805_2012Metric,1k,smt
136.86,-121.4,90.0,top,R38,,,R_0805_2012Metric,0,smt
158.47,-86.8,90.0,top,R39,,,R_0603_1608Metric,0,smt
119.36,-100.32,90.0,top,R4,,,R_0603_1608Metric,33,smt
157.03,-86.81,90.0,top,R40,,,R_0603_1608Metric,DNP,smt
147.095,-101.52,0.0,top,R41,,,R_0603_1608Metric,0,smt
142.22,-96.59,-90.0,top,R42,,,R_0603_1608Metric,DNP,smt
145.445,-101.52,0.0,top,R43,,,R_0603_1608Metric,DNP,smt
160.11,-90.03,0.0,top,R44,,,R_0603_1608Metric,DNP,smt
160.02,-99.46,0.0,top,R45,,,R_0603_1608Metric,DNP,smt
160.02,-94.96,0.0,top,R46,,,R_0603_1608Metric,DNP,smt
160.02,-97.96,0.0,top,R47,,,R_0603_1608Metric,DNP,smt
160.04,-93.45,0.0,top,R48,,,R_0603_1608Metric,DNP,smt
160.06,-91.56,0.0,top,R49,,,R_0603_1608Metric,DNP,smt
113.76,-104.46,90.0,top,R5,,,R_0603_1608Metric,0,smt
160.02,-96.42,0.0,top,R50,,,R_0603_1608Metric,DNP,smt
168.29,-99.46,0.0,top,R51,,,R_0603_1608Metric,DNP,smt
161.76,-90.03,0.0,top,R52,,,R_0603_1608Metric,0,smt
161.69,-93.45,0.0,top,R53,,,R_0603_1608Metric,0,smt
161.67,-99.46,0.0,top,R54,,,R_0603_1608Metric,0,smt
161.71,-91.56,0.0,top,R55,,,R_0603_1608Metric,0,smt
161.655,-94.96,0.0,top,R56,,,R_0603_1608Metric,0,smt
161.67,-96.42,0.0,top,R57,,,R_0603_1608Metric,0,smt
161.67,-97.96,0.0,top,R58,,,R_0603_1608Metric,0,smt
166.62,-99.46,0.0,top,R59,,,R_0603_1608Metric,0,smt
210.11,-81.125,90.0,top,R6,,,R_0603_1608Metric,470k,smt
178.525,-84.25,0.0,top,R60,,,R_0603_1608Metric,DNP,smt
178.54,-87.3,0.0,top,R61,,,R_0603_1608Metric,DNP,smt
178.59,-90.26,0.0,top,R62,,,R_0603_1608Metric,DNP,smt
178.62,-93.33,0.0,top,R63,,,R_0603_1608Metric,DNP,smt
178.55,-85.75,0.0,top,R64,,,R_0603_1608Metric,DNP,smt
178.61,-88.79,0.0,top,R65,,,R_0603_1608Metric,DNP,smt
178.65,-91.77,0.0,top,R66,,,R_0603_1608Metric,DNP,smt
178.58,-95.21,0.0,top,R67,,,R_0603_1608Metric,DNP,smt
176.86,-84.24,0.0,top,R68,,,R_0603_1608Metric,0,smt
176.94,-90.26,0.0,top,R69,,,R_0603_1608Metric,0,smt
209.39,-110.83,0.0,top,R7,,,R_0603_1608Metric,0,smt
176.9,-85.75,0.0,top,R70,,,R_0603_1608Metric,0,smt
177.0,-91.77,0.0,top,R71,,,R_0603_1608Metric,0,smt
176.89,-87.3,0.0,top,R72,,,R_0603_1608Metric,0,smt
176.97,-93.33,0.0,top,R73,,,R_0603_1608Metric,0,smt
176.96,-88.79,0.0,top,R74,,,R_0603_1608Metric,0,smt
176.93,-95.21,0.0,top,R75,,,R_0603_1608Metric,0,smt
211.63,-101.64,0.0,top,R8,,,R_0603_1608Metric,0,smt
175.37,-97.52,0.0,top,R9,,,R_0603_1608Metric,470k,smt
194.62,-99.82,90.0,top,RA2,,,R_Array_Concave_4x0603,47k,smt
190.14,-99.85,90.0,top,RA3,,,R_Array_Concave_4x0603,47k,smt
194.68,-95.46,90.0,top,RA4,,,R_Array_Concave_4x0603,47k,smt
190.13,-95.5,90.0,top,RA5,,,R_Array_Concave_4x0603,470k,smt
185.61,-95.55,90.0,top,RA6,,,R_Array_Concave_4x0603,470k,smt
138.9,-94.37,90.0,top,RA7,,,R_Array_Concave_4x0603,DNP,smt
133.37,-94.37,90.0,top,RA8,,,R_Array_Concave_4x0603,DNP,smt
112.03,-120.74,0.0,top,SSFC,,,Fuse_2010_5025Metric,Fuse_2010_5025Metric,smt
115.21,-94.68,0.0,top,U1,,,SSOP-20_4.4x6.5mm_P0.65mm,74VHCT244,smt
153.18,-96.31,0.0,top,U2,,,SSOP-28_5.3x10.2mm_P0.65mm,DNP (LT1237CS),smt
169.66,-90.01,0.0,top,U3,,,SSOP-28_5.3x10.2mm_P0.65mm,DS14C535MSA,smt
146.57,-98.49,90.0,top,U4,,,SOT-23-5,DNP,smt
128.1,-121.21,-90.0,top,ZD1,,,D_0805_2012Metric,18-,smt
132.46,-128.49,-90.0,top,ZD4,,,D_0805_2012Metric,5_1,smt
