pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
158.72,-117.39,0.0,top,R174,,,R_0402_1005Metric,10k,smt
155.01,-128.96,0.0,top,R175,,,R_0402_1005Metric,10k,smt
158.72,-120.11,0.0,top,R176,,,R_0402_1005Metric,10k,smt
158.63,-129.17,0.0,top,R177,,,R_0402_1005Metric,47k,smt
152.21,-130.29,0.0,top,R178,,,R_0402_1005Metric,10k,smt
168.25,-127.96,90.0,top,R179,,,R_0402_1005Metric,10k,smt
111.06,-62.82,0.0,top,R18,,,R_0402_1005Metric,470k,smt
173.64,-116.89,90.0,top,R180,,,R_0402_1005Metric,180k,smt
168.93,-125.16,90.0,top,R181,,,R_0402_1005Metric,10k,smt
171.89,-137.36,90.0,top,R182,,,R_0402_1005Metric,470k,smt
177.97,-115.44,90.0,top,R183,,,R_0402_1005Metric,470k,smt
178.21,-118.04,90.0,top,R184,,,R_0402_1005Metric,DNP,smt
172.57,-116.9,90.0,top,R185,,,R_0402_1005Metric,4.7k,smt
177.04,-127.93,90.0,top,R186,,,R_0402_1005Metric,470k,smt
214.2,-133.56,90.0,top,R187,,,R_0402_1005Metric,470k,smt
215.51,-136.6,90.0,top,R188,,,R_0402_1005Metric,10k,smt
215.24,-133.56,90.0,top,R189,,,R_0402_1005Metric,470k,smt
89.22,-52.71,0.0,top,R19,,,R_0402_1005Metric,470k,smt
213.2,-133.56,90.0,top,R190,,,R_0402_1005Metric,470k,smt
216.25,-133.56,90.0,top,R191,,,R_0402_1005Metric,470k,smt
217.48,-136.6,90.0,top,R192,,,R_0402_1005Metric,10k,smt
216.51,-136.6,90.0,top,R193,,,R_0402_1005Metric,10k,smt
217.29,-133.56,90.0,top,R194,,,R_0402_1005Metric,470k,smt
80.7,-139.8,90.0,top,R195,,,R_0402_1005Metric,0,smt
117.76,-143.08,90.0,top,R196,,,R_0402_1005Metric,47k,smt
126.74,-143.08,90.0,top,R197,,,R_0402_1005Metric,47k,smt
121.65,-143.08,90.0,top,R198,,,R_0402_1005Metric,10k,smt
130.54,-143.08,90.0,top,R199,,,R_0402_1005Metric,DNP,smt
82.04,-63.3,0.0,top,R2,,,R_0402_1005Metric,470k,smt
104.16,-61.8,90.0,top,R20,,,R_0402_1005Metric,10,smt
132.47,-140.04,90.0,top,R200,,,R_0402_1005Metric,47k,smt
122.8,-143.08,90.0,top,R201,,,R_0402_1005Metric,100k,smt
131.79,-143.08,90.0,top,R202,,,R_0402_1005Metric,DNP,smt
119.0,-143.08,90.0,top,R203,,,R_0402_1005Metric,10k,smt
127.96,-143.08,90.0,top,R204,,,R_0402_1005Metric,47k,smt
124.13,-143.08,90.0,top,R205,,,R_0402_1005Metric,100k,smt
120.26,-143.08,90.0,top,R206,,,R_0402_1005Metric,47k,smt
145.32,-140.12,90.0,top,R207,,,R_0402_1005Metric,120k,smt
150.74,-140.9,90.0,top,R208,,,R_0402_1005Metric,120k,smt
151.72,-140.9,90.0,top,R209,,,R_0402_1005Metric,100k,smt
105.54,-61.8,90.0,top,R21,,,R_0402_1005Metric,0,smt
144.37,-140.12,90.0,top,R210,,,R_0402_1005Metric,100K,smt
143.35,-140.12,90.0,top,R211,,,R_0402_1005Metric,120k,smt
152.73,-143.71,90.0,top,R212,,,R_0402_1005Metric,100k,smt
152.74,-140.9,90.0,top,R213,,,R_0402_1005Metric,120k,smt
140.5,-143.38,90.0,top,R214,,,R_0402_1005Metric,100k,smt
180.08,-143.65,90.0,top,R215,,,R_0402_1005Metric,470k,smt
169.99,-145.27,0.0,top,R216,,,R_0402_1005Metric,470k,smt
140.92,-47.45,90.0,bottom,R217,,,R_0402_1005Metric,470k,smt
139.8,-46.85,90.0,bottom,R218,,,R_0402_1005Metric,470k,smt
132.33,-62.84,-90.0,bottom,R219,,,R_0402_1005Metric,100k,smt
89.65,-53.62,0.0,top,R22,,,R_0402_1005Metric,470k,smt
128.88,-43.3,90.0,bottom,R220,,,R_0402_1005Metric,10k,smt
124.15,-48.65,90.0,bottom,R221,,,R_0402_1005Metric,0,smt
130.17,-48.91,90.0,bottom,R222,,,R_0402_1005Metric,6.8k,smt
133.41,-62.84,90.0,bottom,R223,,,R_0402_1005Metric,100k,smt
126.54,-49.52,90.0,bottom,R224,,,R_0402_1005Metric,470k,smt
129.14,-48.91,90.0,bottom,R225,,,R_0402_1005Metric,6.8k,smt
129.71,-53.73,90.0,bottom,R226,,,R_1206_3216Metric,120,smt
129.93,-43.3,90.0,bottom,R227,,,R_0402_1005Metric,10k,smt
116.93,-56.19,0.0,bottom,R228,,,R_0402_1005Metric,470k,smt
94.01,-58.05,-90.0,bottom,R229,,,R_0402_1005Metric,470k,smt
136.07,-53.63,90.0,top,R23,,,R_0402_1005Metric,0,smt
102.67,-43.04,180.0,bottom,R230,,,R_0805_2012Metric,0,smt
111.97,-47.76,180.0,bottom,R231,,,R_0603_1608Metric,0,smt
89.61,-57.88,-90.0,bottom,R232,,,R_0402_1005Metric,10k,smt
89.01,-55.72,-90.0,bottom,R233,,,R_0402_1005Metric,470k,smt
95.34,-52.63,90.0,bottom,R234,,,R_0402_1005Metric,100k,smt
81.39,-60.89,180.0,bottom,R235,,,R_0402_1005Metric,470k,smt
86.22,-50.36,90.0,bottom,R236,,,R_0402_1005Metric,470,smt
84.67,-60.27,180.0,bottom,R237,,,R_0402_1005Metric,10k,smt
85.62,-43.01,180.0,bottom,R238,,,R_0603_1608Metric,56,smt
84.74,-53.01,180.0,bottom,R239,,,R_0603_1608Metric,56,smt
132.68,-53.8,90.0,top,R24,,,R_0402_1005Metric,4.7k,smt
84.52,-55.32,-90.0,bottom,R240,,,R_0402_1005Metric,47k,smt
76.21,-48.72,180.0,bottom,R241,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,8.2,smt
79.18,-51.99,-90.0,bottom,R242,,,R_0402_1005Metric,7.5k,smt
140.28,-71.57,180.0,bottom,R243,,,R_0402_1005Metric,470k,smt
140.44,-79.69,180.0,bottom,R244,,,R_0402_1005Metric,470k,smt
140.28,-72.55,180.0,bottom,R245,,,R_0402_1005Metric,470k,smt
140.44,-81.76,180.0,bottom,R246,,,R_0402_1005Metric,47k,smt
148.1,-85.78,0.0,bottom,R247,,,R_0402_1005Metric,470k,smt
140.43,-76.39,180.0,bottom,R248,,,R_0402_1005Metric,470k,smt
140.44,-82.74,180.0,bottom,R249,,,R_0402_1005Metric,47k,smt
134.37,-50.94,90.0,top,R25,,,R_0402_1005Metric,1k,smt
132.23,-71.86,-90.0,bottom,R250,,,R_0805_2012Metric,0,smt
134.04,-74.68,180.0,bottom,R251,,,R_0402_1005Metric,33,smt
118.78,-75.85,180.0,bottom,R252,,,R_0402_1005Metric,33,smt
116.55,-72.78,90.0,bottom,R253,,,R_0402_1005Metric,DNP,smt
137.36,-75.09,180.0,bottom,R254,,,R_0402_1005Metric,47k,smt
118.78,-74.88,180.0,bottom,R255,,,R_0402_1005Metric,33,smt
137.31,-64.91,-90.0,bottom,R256,,,R_0805_2012Metric,100,smt
134.04,-76.34,180.0,bottom,R257,,,R_0402_1005Metric,33,smt
121.31,-75.34,90.0,bottom,R258,,,R_0402_1005Metric,10k,smt
93.73,-63.58,180.0,bottom,R259,,,R_0402_1005Metric,470k,smt
135.13,-56.27,90.0,top,R26,,,R_0402_1005Metric,2.2k,smt
104.03,-74.77,180.0,bottom,R260,,,R_0402_1005Metric,133k,smt
105.93,-85.96,90.0,bottom,R261,,,R_0402_1005Metric,33,smt
89.52,-82.4,180.0,bottom,R262,,,R_0402_1005Metric,470k,smt
91.05,-74.08,180.0,bottom,R263,,,R_0402_1005Metric,4.7k,smt
92.52,-68.65,180.0,bottom,R264,,,R_0805_2012Metric,150,smt
89.57,-64.41,-90.0,bottom,R265,,,R_0402_1005Metric,4.7k,smt
107.9,-77.39,90.0,bottom,R266,,,R_0402_1005Metric,50k,smt
92.52,-66.35,180.0,bottom,R267,,,R_0805_2012Metric,150,smt
89.39,-77.54,90.0,bottom,R268,,,R_0402_1005Metric,100k,smt
89.98,-66.74,-90.0,bottom,R269,,,R_0402_1005Metric,470k,smt
138.39,-49.4,90.0,top,R27,,,R_0402_1005Metric,470k,smt
91.05,-72.91,180.0,bottom,R270,,,R_0402_1005Metric,4.7k,smt
104.51,-77.59,90.0,bottom,R271,,,R_0402_1005Metric,DNP,smt
108.05,-85.96,90.0,bottom,R272,,,R_0402_1005Metric,33,smt
92.52,-70.68,180.0,bottom,R273,,,R_0805_2012Metric,150,smt
107.03,-85.96,90.0,bottom,R274,,,R_0402_1005Metric,33,smt
85.22,-84.31,180.0,bottom,R275,,,R_0402_1005Metric,4.7k,smt
81.72,-67.87,180.0,bottom,R276,,,R_0402_1005Metric,33k,smt
73.74,-64.57,180.0,bottom,R277,,,R_0402_1005Metric,200k,smt
79.09,-74.64,90.0,bottom,R278,,,R_0402_1005Metric,470k,smt
87.47,-66.41,180.0,bottom,R279,,,R_0402_1005Metric,4.7k,smt
138.24,-56.04,0.0,top,R28,,,R_1206_3216Metric,56,smt
73.75,-63.54,180.0,bottom,R280,,,R_0402_1005Metric,47k,smt
73.41,-73.35,-90.0,bottom,R281,,,R_0402_1005Metric,10k,smt
76.66,-65.06,180.0,bottom,R282,,,R_0402_1005Metric,470k,smt
76.88,-87.2,180.0,bottom,R283,,,R_0402_1005Metric,4.7k,smt
84.87,-86.5,180.0,bottom,R284,,,R_0805_2012Metric,10,smt
80.93,-82.35,90.0,bottom,R285,,,R_0402_1005Metric,0,smt
87.47,-63.65,180.0,bottom,R286,,,R_0402_1005Metric,22k,smt
84.48,-77.67,90.0,bottom,R287,,,R_0402_1005Metric,470k,smt
75.5,-81.92,-90.0,bottom,R288,,,R_0402_1005Metric,47k,smt
218.36,-108.1,90.0,bottom,R289,,,R_0402_1005Metric,10k,smt
117.8,-57.15,90.0,top,R29,,,R_0402_1005Metric,1k,smt
216.55,-112.5,180.0,bottom,R290,,,R_0402_1005Metric,DNP,smt
213.55,-108.06,180.0,bottom,R291,,,R_0402_1005Metric,220,smt
193.67,-107.9,90.0,bottom,R292,,,R_0805_2012Metric,DNP,smt
208.39,-108.06,180.0,bottom,R293,,,R_0402_1005Metric,22k,smt
190.62,-103.68,90.0,bottom,R294,,,R_0402_1005Metric,1.2k,smt
212.4,-110.48,180.0,bottom,R295,,,R_0402_1005Metric,0,smt
212.8,-111.34,180.0,bottom,R296,,,R_0402_1005Metric,DNP,smt
211.01,-108.06,180.0,bottom,R297,,,R_0402_1005Metric,220,smt
212.8,-113.42,180.0,bottom,R298,,,R_0402_1005Metric,DNP,smt
212.8,-112.28,180.0,bottom,R299,,,R_0402_1005Metric,0,smt
83.22,-55.57,90.0,top,R3,,,R_0402_1005Metric,131k,smt
130.17,-50.46,90.0,top,R30,,,R_0402_1005Metric,0,smt
191.89,-107.8925,90.0,bottom,R300,,,R_0805_2012Metric,0,smt
214.89,-110.7,180.0,bottom,R301,,,R_0402_1005Metric,DNP,smt
193.55,-111.99,180.0,bottom,R302,,,R_0402_1005Metric,470k,smt
