Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
R50,1,DNP,R_0402_1005Metric,,,Yes,smt,
R54,1,DNP,R_0402_1005Metric,,,Yes,smt,
R55,1,DNP,R_0402_1005Metric,,,Yes,smt,
R56,1,DNP,R_0402_1005Metric,,,Yes,smt,
R57,1,DNP,R_0402_1005Metric,,,Yes,smt,
R65,1,DNP,R_0402_1005Metric,,,Yes,smt,
R66,1,DNP,R_0402_1005Metric,,,Yes,smt,
SW1,1,Switch,Switch,,,,smt,
SW2,1,LidSwitch,LidSwitch,,,,smt,
"U1, U13, U14, U22, U24, U25, U30, U38, U52, U58, U60, U64, U9",13,SOT-353,SOT-353,,,,smt,
"U10, U44",2,soic-8-small,soic-8-small,,,,smt,
U11,1,YM3812,SOP-24,,,,smt,
U12,1,LM4861,SOIC-8-narrow,,,,smt,Audio Amp
"U15, U16, U17, U31, U50",5,SOT-23-5,SOT-23-5,,,,smt,
"U18, U26",2,7W126,sso-8,,,,smt,
U19,1,VT74,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
U2,1,7W32,sso-8,,,,smt,
"U20, U37",2,7W14,sso-8,,,,smt,
U21,1,Bowman,Bowman,,,,smt,
U23,1,FDC,FDC,,,,smt,
U27,1,Flash-32,Flash-32,,,,smt,
U28,1,74LVT74,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
"U29, U33",2,RAMchip,RAMchip,,,,smt,
U3,1,IRDA,IRDA,,,,smt,
U32,1,V74,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
U34,1,74LV126,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
U35,1,Pluto,Pluto,,,,smt,
U36,1,SOP48,SOP48,,,,smt,
U39,1,SN74LS74a,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
U4,1,QFN-52,QFN-52,,,,smt,
U40,1,7W00,sso-8,,,,smt,
U41,1,QFN-100,QFN-100,,,,smt,
U42,1,SanDisk,SanDisk,,,,smt,
U43,1,Front LCD,LCD,,,,tht,
U45,1,SN74LS123A,TSSOP-16_4.4x5mm_P0.65mm,,,,smt,
U46,1,DS1669,SOIC-8,,,,smt,Digital Rheostat
U47,1,Y3014,SOP-16,,,,smt,
U48,1,3414A,SOIC-8,,,,smt,
"U49, U72",2,HD151015,SSOP-24_5.3x8.2mm_P0.65mm,,,,smt,9 bit Level Shifter/Transceiver With 3 State Outputs
U5,1,TSSOP-14_4.4x5mm_P0.65mm,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
U51,1,CHIPS65535,BGA-169,,,,smt,
"U53, U55",2,TSOP-5_1.65x3.05mm_P0.95mm,TSOP-5_1.65x3.05mm_P0.95mm,,,,smt,
U54,1,SN74HC74,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,Dual D-Type Positive-Edge-Triggered Flip-Flops With Clear and Preset
"U56, U73",2,SN74LV32,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,Quadruple 2-Input Positive-Or Gates
"U57, U62",2,SN74LVT125,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,ABT QUADRUPLE BUS BUFFER WITH 3STATE OUTPUTS
U59,1,28F200BX,Flash-40,,,,smt,
U6,1,QFN-80,QFN-80,,,,smt,
U61,1,VL82C420,BGA-256,,,,smt,
U63,1,AV9154A-27,SOIC-16W,,,,smt,
U65,1,SN74LV02,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,Quadruple 2-Input Positive-NOR Gates
U66,1,SN74LV08,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
U67,1,SN74LVC2G32,SSOP-8_2.95x2.8mm_P0.65mm,,,,smt,Dual 2-Input Positive-OR Gate
U68,1,SN74LV126,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,Quadruple Bus Buffer Gates With 3-State Outputs
U69,1,M38813M4,QFN64,,,,smt,Keyboard controller
U7,1,HD151015,TSSOP-24_6.1x7.8mm_P0.65mm,,,,smt,
U70,1,SN74LVT244B,TSSOP-20_4.4x6.5mm_P0.65mm,,,,smt,ABT OCTAL BUFFER/DRIVER
U71,1,TPS2201,TSSOP-30_6.1x9.7mm_P0.65mm,,,,smt,Dual-Slot PC Card Power-Interface Switches
U74,1,RB5C396,BGA-256,,,,smt,
U75,1,D17137AGT,SSOP-28,,,,smt,Trackpad Controller
U76,1,486SX-33,BGA-256,,,,smt,Intel 486 SX
U8,1,GPU DRAM,GRAMchip,,,,smt,
X1,1,XTAL-2,XTAL-2,,,,smt,
X2,1,XTAL-1,XTAL-1,,,,smt,
X3,1,"32,768MHz",XTAL-3,,,,smt,
X4,1,14.318MHz,XTAL-6,,,,smt,
X5,1,XTAL-5,XTAL-5,,,,smt,
X6,1,XTAL-4,XTAL-4,,,,smt,
